,name,address,lat,lon,coordinates,rating
0,Texas Chicken,Texas Chicken - VivoCity,1.2647917455551152,103.82210285559164,"[1.2647917455551152, 103.82210285559164]",3.8
1,Subway,Subway - Vivocity,1.2647407805011284,103.82207197855752,"[1.2647407805011284, 103.82207197855752]",4.2
2,LiHO Tea,LiHO Tea - Vivo City,1.2643088376947134,103.82136934828549,"[1.2643088376947134, 103.82136934828549]",4.5
3,Wingstop,Wingstop - VivoCity,1.263526797990238,103.8217115875525,"[1.263526797990238, 103.8217115875525]",4.4
4,Le Shrimp Ramen,Le Shrimp Ramen - Vivocity,1.2648103241394182,103.82255383456544,"[1.2648103241394182, 103.82255383456544]",4.6
5,Heytea,HEYTEA Vivo City [Islandwide Delivery],1.2638843019529418,103.82220139872652,"[1.2638843019529418, 103.82220139872652]",4.6
6,Burger King,Burger King - VivoCity,1.2637407934423948,103.82135428346544,"[1.2637407934423948, 103.82135428346544]",4.1
7,Egg Stop,Egg Stop - VivoCity,1.264835440027852,103.82178452887324,"[1.264835440027852, 103.82178452887324]",3.5
8,Shake Shack,Shake Shack - Vivo City,1.2636821011513175,103.82110697510365,"[1.2636821011513175, 103.82110697510365]",4.5
9,R&B Tea,R&B Tea - VivoCity,1.264914327677218,103.82275306605396,"[1.264914327677218, 103.82275306605396]",4.7
10,Wine Connection,Wine Connection - Vivocity,1.263685636341009,103.82173048104136,"[1.263685636341009, 103.82173048104136]",4.1
11,LeNu,LeNu - Vivocity,1.2635350491203212,103.82192259004997,"[1.2635350491203212, 103.82192259004997]",4.6
12,Ayam Penyet President,Ayam Penyet President - Vivocity,1.2649046920264908,103.82269270072948,"[1.2649046920264908, 103.82269270072948]",4.5
13,Eng's Wantan Noodle,Eng's Wantan Noodle - Vivocity,1.265035714582453,103.82270114501722,"[1.265035714582453, 103.82270114501722]",4.0
14,Yole,Yole - Vivocity,1.263740950989515,103.82306014368498,"[1.263740950989515, 103.82306014368498]",4.7
15,Monster Curry,Monster Curry - Vivocity,1.2640342287429434,103.82214973921612,"[1.2640342287429434, 103.82214973921612]",4.5
16,Long John Silver's,Long John Silver's - Vivocity,1.2637943401346377,103.8219316947836,"[1.2637943401346377, 103.8219316947836]",4.1
17,Putien,Putien - Vivocity,1.2642253097584586,103.82226106726932,"[1.2642253097584586, 103.82226106726932]",4.4
18,Cedele Bakery Cafe,Cedele Bakery Cafe - Vivocity Shopping Mall,1.2635253410991965,103.82234476813164,"[1.2635253410991965, 103.82234476813164]",4.1
19,So Pho,So Pho - VivoCity,1.2635919134240237,103.82109845,"[1.2635919134240237, 103.82109845]",4.5
20,Washoku Goen,Washoku Goen - Vivocity,1.2648406133333334,103.82208898,"[1.2648406133333334, 103.82208898]",4.0
21,Sushi Tei,Sushi Tei - Vivocity,1.2638462954765828,103.82132242276606,"[1.2638462954765828, 103.82132242276606]",4.6
22,Seafood Paradise,Seafood Paradise - Vivo City,1.2636099198870454,103.8230258282199,"[1.2636099198870454, 103.8230258282199]",4.0
23,Dian Xiao Er,Dian Xiao Er - VivoCity,1.263687,103.821961,"[1.263687, 103.821961]",4.5
24,The Original Boat Noodle,The Original Boat Noodle - Vivo City,1.26418416648211,103.82135912096942,"[1.26418416648211, 103.82135912096942]",3.5
25,Fu Xiang Signatures,Fu Xiang Signatures - Vivocity,1.26474,103.82211016789236,"[1.26474, 103.82211016789236]",4.5
26,Food Republic,Food Republic - VivoCity,1.2648058,103.82205452222225,"[1.2648058, 103.82205452222225]",4.2
27,Xpressflower.com,Xpressflower - Vivocity,1.2635557,103.8215475,"[1.2635557, 103.8215475]",4.7
28,Carl's Jr.,Carl's Jr. - Vivocity,1.2640364249148348,103.822801446811,"[1.2640364249148348, 103.822801446811]",4.2
29,Awfully Chocolate,Awfully Chocolate - Vivo City,1.2635489736104404,103.821722586973,"[1.2635489736104404, 103.821722586973]",4.5
30,Encik Tan,Encik Tan - Vivocity,1.2646767,103.8215498,"[1.2646767, 103.8215498]",4.4
31,Potato Corner,Potato Corner - Vivo City,1.264838088188171,103.82175636343908,"[1.264838088188171, 103.82175636343908]",4.1
32,Project Acai,Project Acai - Vivocity,1.2636672701191145,103.82236151798212,"[1.2636672701191145, 103.82236151798212]",4.5
33,Thai Accent,Thai Accent - Vivocity [Islandwide Delivery],1.2637835885747677,103.82144695247808,"[1.2637835885747677, 103.82144695247808]",4.2
34,Lush,Lush - VivoCity,1.2647363109514629,103.82188067287234,"[1.2647363109514629, 103.82188067287234]",4.8
35,Toast Box,Toast Box - VivoCity #03-01D,1.2647695,103.8219071,"[1.2647695, 103.8219071]",4.2
36,Go-Ang Pratunam Chicken Rice,Go-Ang Pratunam Chicken Rice - Vivocity,1.26478055,103.8219499,"[1.26478055, 103.8219499]",4.0
37,Hoshino Coffee,Hoshino Coffee - Vivo City,1.2637521672704253,103.8221243093712,"[1.2637521672704253, 103.8221243093712]",4.1
38,Boost Juice Bars,Boost Juice Bars - Vivocity,1.2635418,103.82214585299286,"[1.2635418, 103.82214585299286]",4.2
39,Brotzeit,Brotzeit - Vivo City,1.264058177299077,103.82125428772171,"[1.264058177299077, 103.82125428772171]",4.4
40,Beyond Coffee,Beyond Coffee - Vivocity,1.2635531,103.8220039,"[1.2635531, 103.8220039]",5.0
41,Da Paolo Gastronomia,Da Paolo Gastronomia - Vivo City,1.263516238635674,103.82256505097187,"[1.263516238635674, 103.82256505097187]",4.8
42,Chinatown Tan's Tutu,Chinatown Tan's Tutu - Vivocity,1.2647759,103.8223802,"[1.2647759, 103.8223802]",4.5
